director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Abel Ferrara,Ethan Hawke,Valerio Mastandrea,unknown,War Thriller,zeros and ones,Ethan Hawke Valerio Mastandrea unknown Abel Ferrara War Thriller
Brian Patrick Butler,Nick Young,Alexandra Slade,Michael C. Burgess,Comedy Science Fiction Horror,friend of the world,Nick Young Alexandra Slade Michael C. Burgess Brian Patrick Butler Comedy Science Fiction Horror
"Byron Howard, Jared Bush, Chasire Castro Smith",Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Animation Comedy Family Fantasy,encanto,"Stephanie Beatriz María Cecilia Botero John Leguizamo Byron Howard, Jared Bush, Chasire Castro Smith Animation Comedy Family Fantasy"
Ridley Scott,Lady Gaga,Adam Driver,Jared Leto,Drama History Crime,house of gucci,Lady Gaga Adam Driver Jared Leto Ridley Scott Drama History Crime
Nora Fingscheidt,Sandra Bullock,Vincent D'Onofrio,Jon Bernthal,Drama Crime,the unforgivable,Sandra Bullock Vincent D'Onofrio Jon Bernthal Nora Fingscheidt Drama Crime
Johannes Roberts,Kaya Scodelario,Hannah John-Kamen,Robbie Amell,Horror Science Fiction Action,resident evil: welcome to raccoon city,Kaya Scodelario Hannah John-Kamen Robbie Amell Johannes Roberts Horror Science Fiction Action
Michael Dowse,Neil Patrick Harris,Winslow Fegley,June Diane Raphael,Family Comedy Fantasy,8-bit christmas,Neil Patrick Harris Winslow Fegley June Diane Raphael Michael Dowse Family Comedy Fantasy
Stephen Karam,Richard Jenkins,Jayne Houdyshell,Amy Schumer,Drama,the humans,Richard Jenkins Jayne Houdyshell Amy Schumer Stephen Karam Drama
Trey Parker,Matt Stone,Mona Marshall,Kimberly Brooks,Animation Comedy TV Movie,south park: post covid,Matt Stone Mona Marshall Kimberly Brooks Trey Parker Animation Comedy TV Movie
Paul Thomas Anderson,Alana Haim,Cooper Hoffman,Sean Penn,Drama Comedy Romance,licorice pizza,Alana Haim Cooper Hoffman Sean Penn Paul Thomas Anderson Drama Comedy Romance
Michael Mayer,Michael Urie,Philemon Chambers,Luke Macfarlane,Romance Comedy,single all the way,Michael Urie Philemon Chambers Luke Macfarlane Michael Mayer Romance Comedy
Clare Knight,Isla Fisher,Tim Minchin,Eric Bana,Family Animation Adventure Comedy,back to the outback,Isla Fisher Tim Minchin Eric Bana Clare Knight Family Animation Adventure Comedy
Swinton O. Scott III,Brady Noon,Ethan William Childress,Chris Diamantopoulos,Comedy Family,diary of a wimpy kid,Brady Noon Ethan William Childress Chris Diamantopoulos Swinton O. Scott III Comedy Family
Michael Pierce,Riz Ahmed,Octavia Spencer,Janina Gavankar,Science Fiction Mystery Thriller Drama,encounter,Riz Ahmed Octavia Spencer Janina Gavankar Michael Pierce Science Fiction Mystery Thriller Drama
Valerie Weiss,Gemma Brooke Allen,Jackson Rathbone,Nick Thune,Comedy Family,mixtape,Gemma Brooke Allen Jackson Rathbone Nick Thune Valerie Weiss Comedy Family
Jared Cohn,Patrick Muldoon,Bruce Willis,Matthew Marsden,Action Thriller,deadlock,Patrick Muldoon Bruce Willis Matthew Marsden Jared Cohn Action Thriller
Steven Spielberg,Ansel Elgort,Rachel Zegler,Ariana DeBose,Drama Romance Crime,west side story,Ansel Elgort Rachel Zegler Ariana DeBose Steven Spielberg Drama Romance Crime
Adam McKay,Leonardo DiCaprio,Jennifer Lawrence,Rob Morgan,Comedy Science Fiction Drama,don't look up,Leonardo DiCaprio Jennifer Lawrence Rob Morgan Adam McKay Comedy Science Fiction Drama
Ric Roman Waugh,Stephan James,J. K. Simmons,Alexander Ludwig,Drama,national champions,Stephan James J. K. Simmons Alexander Ludwig Ric Roman Waugh Drama
Aaron Sorkin,Nicole Kidman,Javier Bardem,J. K. Simmons,Drama History,being the ricardos,Nicole Kidman Javier Bardem J. K. Simmons Aaron Sorkin Drama History
Sean Baker,Simon Rex,Bree Elrod,Suzanna Son,Drama Comedy,red rocket,Simon Rex Bree Elrod Suzanna Son Sean Baker Drama Comedy
Peter Hutchings,Lucy Hale,Austin Stowell,Damon Daunno,Drama Comedy Romance,the hating game,Lucy Hale Austin Stowell Damon Daunno Peter Hutchings Drama Comedy Romance
Hamish Grieve,Will Arnett,Terry Crews,Geraldine Viswanathan,Animation Family,rumble,Will Arnett Terry Crews Geraldine Viswanathan Hamish Grieve Animation Family
Trey Parker,Matt Stone,Mona Marshall,Kimberly Brooks,Animation Comedy TV Movie,south park: post covid: the return of covid,Matt Stone Mona Marshall Kimberly Brooks Trey Parker Animation Comedy TV Movie
Jon Watts,Tom Holland,Benedict Cumberbatch,Zendaya,Action Adventure Science Fiction,spider-man: no way home,Tom Holland Benedict Cumberbatch Zendaya Jon Watts Action Adventure Science Fiction
Guillermo del Toro,Bradley Cooper,Cate Blanchett,Toni Collette,Crime Thriller Drama,nightmare alley,Bradley Cooper Cate Blanchett Toni Collette Guillermo del Toro Crime Thriller Drama
Maggie Gyllenhaal,Olivia Colman,Dakota Johnson,Jessie Buckley,Drama,the lost daughter,Olivia Colman Dakota Johnson Jessie Buckley Maggie Gyllenhaal Drama
Benjamin Cleary,Mahershala Ali,Naomie Harris,Glenn Close,Comedy Drama,swan song,Mahershala Ali Naomie Harris Glenn Close Benjamin Cleary Comedy Drama
George Clooney,Ben Affleck,Tye Sheridan,Lily Rabe,Drama,the tender bar,Ben Affleck Tye Sheridan Lily Rabe George Clooney Drama
Mattson Tomlin,Chloë Grace Moretz,Algee Smith,Raúl Castillo,Science Fiction Thriller,mother/android,Chloë Grace Moretz Algee Smith Raúl Castillo Mattson Tomlin Science Fiction Thriller
James Cullen Bressack,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress,Jesse Metcalfe Bruce Willis Chad Michael Murray James Cullen Bressack Action Thriller Crime
Garth Jennings,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Animation Family Music Comedy,sing 2,Matthew McConaughey Reese Witherspoon Scarlett Johansson Garth Jennings Animation Family Music Comedy
Lana Wachowski,Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Science Fiction Action Adventure,the matrix resurrections,Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II Lana Wachowski Science Fiction Action Adventure
Matthew Vaughn,Ralph Fiennes,Gemma Arterton,Rhys Ifans,Action Comedy Adventure Thriller,the king's man,Ralph Fiennes Gemma Arterton Rhys Ifans Matthew Vaughn Action Comedy Adventure Thriller
Joel Coen,Denzel Washington,Frances McDormand,Bertie Carvel,Drama War,the tragedy of macbeth,Denzel Washington Frances McDormand Bertie Carvel Joel Coen Drama War
Denzel Washington,Michael B. Jordan,Chanté Adams,Jalon Christian,Drama Romance,a journal for jordan,Michael B. Jordan Chanté Adams Jalon Christian Denzel Washington Drama Romance
Erwin brothers,Zachary Levi,Anna Paquin,Dennis Quaid,Drama,american underdog,Zachary Levi Anna Paquin Dennis Quaid Erwin brothers Drama
"Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton, Elkin Díaz, Jeanne Balibar, Juan Pablo Urrego, Daniel Giménez Cacho",Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton,Elkin Díaz,Jeanne Balibar,Drama Science Fiction Mystery,memoria,"Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton Elkin Díaz Jeanne Balibar Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton, Elkin Díaz, Jeanne Balibar, Juan Pablo Urrego, Daniel Giménez Cacho Drama Science Fiction Mystery"
nan,nan,unknown,unknown,Drama Crime,,nan unknown unknown nan Drama Crime
